id_municipio,municipio_nome,unidade,nome_rm,nome_ugrhi
3500105,Adamantina,URAE 1 - Sudeste,_Fora de RMs/AUs,Peixe
3500204,Adolfo,URAE 1 - Sudeste,_Fora de RMs/AUs,Tietê / Batalha
3500303,Aguaí,URAE 1 - Sudeste,_Fora de RMs/AUs,Mogi-Guaçu
3500402,Águas da Prata,URAE 1 - Sudeste,_Fora de RMs/AUs,Mogi-Guaçu
3500501,Águas de Lindóia,URAE 4 - Norte,_Fora de RMs/AUs,Mogi-Guaçu
3500550,Águas de Santa Bárbara,URAE 2 - Centro,_Fora de RMs/AUs,Médio Paranapanema
3500600,Águas de São Pedro,URAE 1 - Sudeste,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Piracicaba / Capivari / Jundiaí
3500709,Agudos,URAE 1 - Sudeste,_Fora de RMs/AUs,Tietê / Jacaré
3500758,Alambari,URAE 1 - Sudeste,Região Metropolitana de Sorocaba,Tietê / Sorocaba
3500808,Alfredo Marcondes,URAE 1 - Sudeste,_Fora de RMs/AUs,Peixe
3500907,Altair,URAE 1 - Sudeste,_Fora de RMs/AUs,Baixo Pardo / Grande
3501004,Altinópolis,URAE 4 - Norte,Região Metropolitana de Ribeirão Preto,Pardo
3501103,Alto Alegre,URAE 1 - Sudeste,_Fora de RMs/AUs,Baixo Tietê
3501152,Alumínio,URAE 1 - Sudeste,Região Metropolitana de Sorocaba,Tietê / Sorocaba
3501202,Álvares Florence,URAE 4 - Norte,_Fora de RMs/AUs,Turvo / Grande
3501301,Álvares Machado,URAE 1 - Sudeste,_Fora de RMs/AUs,Peixe
3501400,Álvaro de Carvalho,URAE 1 - Sudeste,_Fora de RMs/AUs,Aguapeí
3501509,Alvinlândia,URAE 1 - Sudeste,_Fora de RMs/AUs,Médio Paranapanema
3501608,Americana,URAE 3 - Leste,Região Metropolitana de Campinas,Piracicaba / Capivari / Jundiaí
3501707,Américo Brasiliense,URAE 4 - Norte,_Fora de RMs/AUs,Mogi-Guaçu
3501806,Américo de Campos,URAE 4 - Norte,_Fora de RMs/AUs,Turvo / Grande
3501905,Amparo,URAE 3 - Leste,_Fora de RMs/AUs,Piracicaba / Capivari / Jundiaí
3502002,Analândia,URAE 2 - Centro,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Piracicaba / Capivari / Jundiaí
3502101,Andradina,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Tietê
3502200,Angatuba,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3502309,Anhembi,URAE 1 - Sudeste,_Fora de RMs/AUs,Tietê / Sorocaba
3502408,Anhumas,URAE 1 - Sudeste,_Fora de RMs/AUs,Pontal do Paranapanema
3502507,Aparecida,URAE 3 - Leste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Paraíba do Sul
3502606,Aparecida d'Oeste,URAE 1 - Sudeste,_Fora de RMs/AUs,São José dos Dourados
3502705,Apiaí,URAE 1 - Sudeste,_Fora de RMs/AUs,Ribeira de Iguape / Litoral Sul
3502754,Araçariguama,URAE 1 - Sudeste,Região Metropolitana de Sorocaba,Tietê / Sorocaba
3502804,Araçatuba,URAE 4 - Norte,_Fora de RMs/AUs,Baixo Tietê
3502903,Araçoiaba da Serra,URAE 2 - Centro,Região Metropolitana de Sorocaba,Tietê / Sorocaba
3503000,Aramina,URAE 4 - Norte,Aglomeração Urbana de Franca,Sapucaí / Grande
3503109,Arandu,URAE 1 - Sudeste,_Fora de RMs/AUs,Alto Paranapanema
3503158,Arapeí,URAE 1 - Sudeste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Paraíba do Sul
3503208,Araraquara,URAE 2 - Centro,_Fora de RMs/AUs,Tietê / Jacaré
3503307,Araras,URAE 2 - Centro,Aglomeração Urbana de Piracicaba-AU- Piracicaba,Mogi-Guaçu
3503356,Arco-Íris,URAE 1 - Sudeste,_Fora de RMs/AUs,Aguapeí
3503406,Arealva,URAE 1 - Sudeste,_Fora de RMs/AUs,Tietê / Jacaré
3503505,Areias,URAE 3 - Leste,Região Metropolitana do Vale do Paraíba e Litoral Norte,Paraíba do Sul
3503604,Areiópolis,URAE 1 - Sudeste,_Fora de RMs/AUs,Tietê / Jacaré
3503703,Ariranha,URAE 4 - Norte,_Fora de RMs/AUs,Turvo / Grande
3503802,Artur Nogueira,URAE 3 - Leste,Região Metropolitana de Campinas,Piracicaba / Capivari / Jundiaí
