id_municipio,nome_ugrhi
3500105,Peixe
3500204,Tietê / Batalha
3500303,Mogi-Guaçu
3500402,Mogi-Guaçu
3500501,Mogi-Guaçu
3500550,Médio Paranapanema
3500600,Piracicaba / Capivari / Jundiaí
3500709,Tietê / Jacaré
3500758,Tietê / Sorocaba
3500808,Peixe
3500907,Baixo Pardo / Grande
3501004,Pardo
3501103,Baixo Tietê
3501152,Tietê / Sorocaba
3501202,Turvo / Grande
3501301,Peixe
3501400,Aguapeí
3501509,Médio Paranapanema
3501608,Piracicaba / Capivari / Jundiaí
3501707,Mogi-Guaçu
3501806,Turvo / Grande
3501905,Piracicaba / Capivari / Jundiaí
3502002,Piracicaba / Capivari / Jundiaí
3502101,Baixo Tietê
3502200,Alto Paranapanema
3502309,Tietê / Sorocaba
3502408,Pontal do Paranapanema
3502507,Paraíba do Sul
3502606,São José dos Dourados
3502705,Ribeira de Iguape / Litoral Sul
3502754,Tietê / Sorocaba
3502804,Baixo Tietê
3502903,Tietê / Sorocaba
3503000,Sapucaí / Grande
3503109,Alto Paranapanema
3503158,Paraíba do Sul
3503208,Tietê / Jacaré
3503307,Mogi-Guaçu
3503356,Aguapeí
3503406,Tietê / Jacaré
3503505,Paraíba do Sul
3503604,Tietê / Jacaré
3503703,Turvo / Grande
3503802,Piracicaba / Capivari / Jundiaí
3503901,Alto Tietê
3503950,Turvo / Grande
3504008,Médio Paranapanema
3504107,Piracicaba / Capivari / Jundiaí
3504206,São José dos Dourados
3504305,Tietê / Batalha
3504404,Baixo Tietê
3504503,Médio Paranapanema
3504602,Tietê / Batalha
3504701,Tietê / Batalha
3504800,Turvo / Grande
3504909,Paraíba do Sul
3505005,Alto Paranapanema
3505104,Baixo Tietê
3505203,Tietê / Jacaré
3505302,Tietê / Jacaré
3505351,Ribeira de Iguape / Litoral Sul
3505401,Ribeira de Iguape / Litoral Sul
3505500,Baixo Pardo / Grande
3505609,Mogi-Guaçu
3505708,Alto Tietê
3505807,Peixe
3505906,Sapucaí / Grande
3506003,Tietê / Jacaré
3506102,Baixo Pardo / Grande
3506201,Baixo Tietê
3506300,Alto Paranapanema
3506359,Baixada Santista
3506409,Baixo Tietê
3506508,Baixo Tietê
3506607,Alto Tietê
3506706,Tietê / Jacaré
3506805,Tietê / Jacaré
3506904,Tietê / Sorocaba
3507001,Tietê / Sorocaba
3507100,Piracicaba / Capivari / Jundiaí
3507159,Alto Paranapanema
3507209,Peixe
3507308,Tietê / Jacaré
3507407,Tietê / Batalha
3507456,Tietê / Jacaré
3507506,Tietê / Sorocaba
3507605,Piracicaba / Capivari / Jundiaí
3507704,Baixo Tietê
3507753,Baixo Tietê
3507803,Pardo
3507902,Tietê / Jacaré
3508009,Alto Paranapanema
3508108,Baixo Tietê
3508207,Sapucaí / Grande
3508306,Médio Paranapanema
3508405,Tietê / Sorocaba
3508504,Paraíba do Sul
3508603,Paraíba do Sul
3508702,Pardo
3508801,Tietê / Batalha
3508900,Peixe
3509007,Alto Tietê
3509106,Pontal do Paranapanema
3509205,Alto Tietê
3509254,Ribeira de Iguape / Litoral Sul
3509304,Turvo / Grande
3509403,Pardo
3509452,Alto Paranapanema
3509502,Piracicaba / Capivari / Jundiaí
3509601,Piracicaba / Capivari / Jundiaí
3509700,Mantiqueira
3509809,Médio Paranapanema
3509908,Ribeira de Iguape / Litoral Sul
3509957,Paraíba do Sul
3510005,Médio Paranapanema
3510104,Turvo / Grande
3510153,Médio Paranapanema
3510203,Alto Paranapanema
3510302,Tietê / Sorocaba
3510401,Piracicaba / Capivari / Jundiaí
3510500,Litoral Norte
3510609,Alto Tietê
3510708,Turvo / Grande
3510807,Pardo
3510906,Pardo
3511003,Baixo Tietê
3511102,Turvo / Grande
3511201,Turvo / Grande
3511300,Turvo / Grande
3511409,Médio Paranapanema
3511508,Tietê / Sorocaba
3511607,Tietê / Sorocaba
3511706,Piracicaba / Capivari / Jundiaí
3557204,Médio Paranapanema
3511904,Aguapeí
3512001,Baixo Pardo / Grande
3512100,Baixo Pardo / Grande
3512209,Mogi-Guaçu
3512308,Tietê / Sorocaba
3512407,Piracicaba / Capivari / Jundiaí
3512506,Baixo Tietê
3512605,Alto Paranapanema
